,31 Trial 1,31 Trial 2 ,31 Trial 3,31 Triton Trial 1,31 Triton Trial 2 ,31 Triton Trial 3
Time ,Intensity ,Intensity,Intensity,Intensity ,Intensity,Intensity
233,11.202,24.032333,11.408666,11.285,11.987333,12.615333
234,11.196333,24.026,11.378333,11.311,12.003,12.604
235,11.168333,24.020333,11.342333,11.326666,12.009,12.609333
236,11.146333,23.987333,11.318,11.324,11.989333,12.627
237,11.149,23.972333,11.319,11.316333,11.960333,12.647333
238,11.164666,23.955666,11.322666,11.318333,11.944,12.659
239,11.16,23.955,11.329,11.353333,11.925666,12.665666
240,11.146666,23.918666,11.334666,11.371666,11.905333,12.680333
241,11.108333,23.900666,11.319666,11.37,11.927,12.677333
242,11.091666,23.881,11.304,11.32,11.969,12.641
243,11.083333,23.848333,11.256333,11.293666,11.989333,12.606333
244,11.107,23.857666,11.225333,11.309,11.964666,12.606
245,11.118,23.865666,11.233,11.324333,11.961666,12.648
246,11.12,23.842,11.231,11.335666,11.946333,12.647666
247,11.107333,23.844,11.223666,11.299333,11.949333,12.653
248,11.116666,23.793666,11.222,11.262,11.94,12.621333
249,11.112,23.775,11.257666,11.255,11.911,12.618333
250,11.106666,23.697666,11.282,11.270666,11.917,12.591
251,11.098333,23.716666,11.258666,11.296666,11.906,12.596
252,11.088,23.753333,11.253,11.285666,11.944,12.624666
253,11.080333,23.711,11.238333,11.268,11.97,12.641666
254,11.043666,23.644333,11.241666,11.249,11.959666,12.637
255,11.036666,23.562666,11.229333,11.226333,11.928666,12.625333
256,11.047666,23.604666,11.221,11.253,11.875666,12.600666
257,11.081333,23.597,11.211,11.276666,11.860666,12.589
258,11.095,23.596333,11.171,11.305,11.858,12.594333
259,11.081333,23.564666,11.147,11.288,11.846,12.614666
260,11.061,23.55,11.174666,11.266666,11.845,12.623
261,11.046333,23.554333,11.221333,11.278,11.861333,12.598
262,11.047,23.532,11.236666,11.295,11.87,12.598666
263,11.067333,23.526666,11.227,11.300666,11.873333,12.602
264,11.081333,23.51,11.212,11.263666,11.861,12.594666
265,11.069,23.493333,11.191,11.234666,11.848666,12.572333
266,11.045333,23.465,11.153,11.243333,11.852666,12.561666
267,11.033666,23.424,11.112666,11.261666,11.87,12.587333
268,11.041666,23.436666,11.109666,11.268333,11.888333,12.614666
269,11.048,23.465,11.14,11.240333,11.880333,12.625666
270,11.052,23.479333,11.163666,11.232666,11.860333,12.628333
271,11.069333,23.431,11.167,11.247,11.844333,12.636666
272,11.027666,23.335666,11.121666,11.284666,11.839,12.643666
273,10.991,23.304333,11.104666,11.274666,11.843333,12.624333
274,10.972333,23.295333,11.098,11.250666,11.854666,12.622
275,10.996,23.315666,11.091666,11.206,11.829,12.609
276,10.988333,23.270333,11.082666,11.226,11.833666,12.616
277,11.006333,23.239333,11.099666,11.249,11.86,12.61
278,10.994,23.229,11.088,11.265666,11.894,12.608666
279,11.007333,23.244,11.104333,11.289666,11.877666,12.603
280,10.97,23.212666,11.08,11.298,11.832666,12.567666
281,10.945333,23.185666,11.09,11.326,11.851666,12.573
282,10.943333,23.194,11.061666,11.279333,11.88,12.578333
283,10.917666,23.226,11.039666,11.260333,11.896666,12.601333
284,10.923333,23.205333,11.033666,11.224,11.856333,12.607333
285,10.927333,23.180666,11.028666,11.202333,11.828333,12.620333
286,10.944,23.114333,11.042666,11.202666,11.814,12.641
287,10.956666,23.082666,11.050333,11.224,11.833,12.631
288,10.953666,23.011333,11.052333,11.243333,11.841666,12.619666
289,10.976,23.047,11.028666,11.251333,11.832333,12.603
290,10.978666,23.076333,11.017666,11.275666,11.832666,12.596333
291,10.968333,23.067333,11.002,11.297,11.831,12.567666
292,10.935666,23.047666,11.009333,11.282666,11.836333,12.552
293,10.914333,23.065666,11.000333,11.251,11.81,12.549333
